word,hiragana,katakana,JPDB_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
の,の,ノ,1,6,5,5,3,4,7,5,5,5,6,6,4,4,7,1,1,328,1,1,1,1,1,3,3,2,2,3,2488,2,2,3,1,2,2,1,16997,33,2609,1,1,2,1,3,4,1,1,4,6,4,2,11280,1,1,2,1,9754,1,1,1
は,は,ハ,2,13,16,10,10,9,18,9,17,14,14,17,10,10,17,3,4,1936,2,4,7,2,3,2,2,6,3,5,1404,3,3,5,4,3,3,4,5452,1,2057,4,2,6,9,8,2,9,7,9,7,8,8,1448,3,8,7,4,2551,4,6,6
に,に,ニ,3,15,17,11,14,10,16,16,9,15,15,15,16,13,14,2,6,30,4,2,3,5,5,5,5,5,5,6,29,5,5,6,6,6,6,3,440,36,137,6,3,5,6,5,8,7,11,15,15,12,5,54,5,3,8,2,124,2,3,5
が,が,ガ,4,12,13,13,13,6,9,14,12,11,12,12,15,11,12,9,7,1906,6,9,4,3,7,8,8,10,8,7,19996,8,8,7,8,11,11,7,-1,26,19854,5,5,7,11,10,6,8,9,12,10,14,13,3087,7,9,10,5,8925,7,4,7
と,と,ト,7,17,18,14,12,11,20,13,18,16,19,21,11,15,15,8,15,443,8,10,10,8,12,11,11,11,11,13,24431,11,11,13,11,16,17,10,8319,8,2029,12,10,4,2,4,11,4,4,8,16,10,14,8045,12,10,12,10,5082,9,11,4
も,も,モ,8,14,14,15,16,12,12,18,16,10,16,14,17,18,9,15,18,4286,11,12,13,7,15,10,10,18,10,9,16663,10,10,9,13,17,19,12,16636,289,15333,11,11,16,19,12,31,17,16,16,21,13,19,22209,15,16,18,13,24268,18,19,14
だ,だ,ダ,9,2,1,1,2,1,1,1,1,1,1,2,2,1,2,54,2,113,7,5,6,13,2,1,1,9,1,1,3647,1,1,1,2,10,10,29,12909,3457,4,10,4,3,5,2,1,5,3,2,2,1,7,6225,2,6,4,14,9043,12,7,3
から,から,カラ,10,26,25,27,32,40,31,29,24,26,24,23,30,27,27,19,23,3250,21,24,22,15,23,30,34,24,37,28,2,37,34,25,17,28,35,28,10398,70,2,17,16,33,30,38,34,26,33,43,58,44,42,21788,23,19,22,17,12585,19,23,23
よ,よ,ヨ,11,16,11,18,24,36,13,15,11,17,11,9,24,14,16,1197,13,147,41,54,69,6,11,13,13,36,13,10,810,13,13,10,18,20,22,107,6416,6043,1223,9,9,83,390,70,55,135,44,28,28,38,50,3353,11,24,40,20,2444,656,20,25
する,する,スル,12,13446,13258,7212,7639,2876,4170,4014,4667,16460,8594,5139,11750,14238,10747,16,9,-1,14,6501,15,107,9,9,10746,12,18652,21239,9,9,9,8,9,32,41,27,184,1771,67,16,7,6760,11641,4325,6932,7368,6267,2453,7296,7322,22189,20459,9,5,13,19,8143,3,10,11
か,か,カ,13,10,9,12,17,21,8,8,15,8,13,13,14,16,8,58,12,540,22,25,19,11,14,16,16,22,15,15,567,15,15,15,16,15,16,21,1741,793,3778,14,8,23,34,20,10,29,24,11,5,15,37,463,14,12,21,15,1128,56,18,15
こと,こと,コト,14,20704,17146,11364,7639,2876,4170,4014,4667,16460,13585,11052,7431,21702,14260,21,25,73,15,18,29,31,28,26,29,23,25,29,6,25,22,26,19,37,42,19,35,1676,8,20,18,20,18,22,21,19,23,31,68,36,33,6,28,60,24,23,5,22,24,21
なる,なる,ナル,15,13446,10802,11364,7639,2876,4170,4014,4667,16460,5138,11052,11750,14238,10747,49,29,-1,2273,3019,35,56,33,32,17060,25,4759,20525,11,29,26,33,27,12688,13339,75,1600,15964,11658,31,22,2885,3176,2344,3223,793,2244,1858,3727,1832,4758,21661,33,26,28,56,21368,20,25,28
それ,それ,ソレ,17,8967,7105,11364,7639,2876,1050,4014,4667,16460,8594,6998,11750,14238,6427,83,44,515,13304,15185,124,21518,48,37,8431,35,7966,8732,7,35,32,32,33,33,40,66,-1,8420,3087,49,31,19368,17907,28,19384,19505,3141,19505,19509,19518,12993,8,48,47,33,64,8,147,35,34
ね,ね,ネ,18,3,3,3,5,5,3,3,3,3,4,3,3,3,3,1543,19,394,38,52,42,10,20,19,21,50,27,20,1437,27,24,19,31,31,38,82,5508,13696,3042,15,13,24,38,21,41,24,14,5,3,5,46,2583,20,25,52,26,2133,1572,14,17
な,な,ナ,20,35,34,40,40,43,30,33,29,37,33,37,40,33,38,22,22,118,67,93,89,14,22,22,24,57,18,22,224,18,17,20,28,7,7,13,2211,3977,379,8,14,64,257,52,26,134,103,46,32,54,67,505,22,29,53,11,815,933,36,35
です,です,デス,23,20,23,16,7,8,26,19,26,18,31,30,7,17,23,1121,14,-1,17,16,14,17,18,17,17,27,23,18,57,23,21,18,21,21055,22192,22,-1,4412,40,22,15,14,14,9,15,14,5,3,1,3,20,-1,18,17,27,18,-1,968,9,12
その,その,ソノ,25,97,95,97,81,126,146,82,124,99,107,134,72,80,117,25,49,2831,14438,14072,4354,57,61,52,1453,32,1182,792,5,52,48,60,40,61,71,48,11887,878,5,55,48,48,45,46,1061,85,55,53,506,58,6108,6086,61,37,30,51,4729,37,40,36
そう,そう,ソウ,28,7,7,6,8,16,6,7,7,6,7,7,6,7,6,788,32,3418,52,69,60,80,32,33,37,39,44,34,14,44,41,31,25,38,46,100,7852,3781,80,79,60,40,58,35,30,53,35,10,19,16,171,14,32,36,34,40,9,1084,38,33
ない,ない,ナイ,30,23,21,26,25,27,23,23,20,24,21,19,26,25,21,33,10,239,18,19,17,29,10,14,14,15,14,16,1,14,14,16,10,4360,4117,15,670,12211,27,52,27,32,44,29,24,36,36,24,20,28,27,252,10,13,16,12,236,21,16,18
くる,くる,クル,31,6881,7105,4421,7639,2876,4170,4014,1428,10817,13585,2907,11750,8574,5712,1177,48,14387,51,22629,45,21,54,57,60,47,18134,24362,54,57,52,50,39,256,280,252,56,-1,6,233,43,9445,21515,8263,9563,9871,2098,9810,9851,9846,17640,15863,54,57,43,190,4832,167,47,46
さん,さん,サン,32,53,53,59,48,69,57,69,58,53,53,48,52,56,51,748,30,55,3856,55,48,16,56,34,38,64,40,30,49,40,37,27,38,72,83,79,771,4345,32,36,32,99,243,75,1066,82,90,93,29,95,49,23,56,62,45,80,15,565,65,43
だけ,だけ,ダケ,33,96,98,89,100,79,97,90,108,96,98,95,98,96,96,238,74,-1,54,72,57,73,66,60,66,67,62,73,24,62,57,68,48,78,89,103,-1,-1,34,85,44,107,124,98,84,189,96,102,129,113,100,-1,66,118,58,53,-1,262,55,67
いい,いい,イイ,34,4442,3914,7212,3549,2876,4170,4014,1896,8262,2091,11052,5541,3974,5172,1152,36,1703,10149,12323,213,51,31,29,16719,76,5159,9899,31,41,38,29,42,17211,16181,124,-1,24573,83,46,29,5964,23396,3737,6158,2586,9893,6525,6544,6590,12668,4367,31,54,66,36,3688,1349,68,48
これ,これ,コレ,36,11455,9191,11364,7639,2876,4170,4014,4667,16460,4264,11052,11750,21702,7428,52,39,599,42,47,144,53,42,43,48,68,47,46,19,47,44,42,56,53,61,69,12820,10296,85,38,37,37,21957,51,35,37,27,79,43,99,86,27,42,33,64,46,26,90,26,26
そんな,そんな,ソンナ,40,128,121,144,192,234,134,168,100,125,128,121,155,125,131,2551,76,-1,138,191,148,65,101,119,126,121,93,94,53,93,85,87,57,119,131,257,-1,-1,68,90,70,230,1017,137,1119,275,228,123,160,115,274,36,102,132,85,150,34,3555,97,129
わ,わ,ワ,42,159,140,204,285,214,208,184,179,179,120,131,300,182,146,2593,51,1354,179,255,1170,69,29,28,31,114,68,57,24507,68,62,52,58,27,34,661,5998,7497,53,69,40,960,3710,887,153,994,602,577,730,2812,290,3432,29,317,133,72,2628,924,221,195
まで,まで,マデ,44,112,115,109,114,111,139,128,98,110,112,118,111,106,111,44,75,1118,45,58,47,91,76,71,78,58,61,84,23,61,56,77,55,87,100,84,12804,688,33,97,59,81,114,81,25,101,107,128,374,116,85,-1,78,112,59,54,-1,41,76,70
し,し,シ,45,92,88,92,98,144,91,87,85,90,88,97,95,98,90,10,112,89,92,130,107,70,112,101,108,140,110,64,24144,110,101,59,70,13,14,11,2676,335,43,77,71,122,407,86,303,245,152,83,130,91,141,801,115,377,117,9,846,2665,122,113
もの,もの,モノ,46,109,92,140,183,298,110,110,93,104,104,93,146,112,100,45,120,53,1114,1806,102,152,132,109,566,42,440,255,12,102,93,99,74,102,115,59,638,8958,31,128,93,5001,13262,11111,5226,5806,1871,254,304,615,1071,41,136,147,50,75,203,49,61,55
あの,あの,アノ,48,31,30,35,27,46,41,31,31,32,35,35,28,30,34,4382,54,-1,10606,7939,1034,39,84,87,94,83,83,97,39,83,76,90,84,103,118,425,-1,10248,25,65,50,18,22,17,1059,21,21,27,42,21,816,88,86,94,107,221,50,3055,128,103
もう,もう,モウ,51,41,38,43,49,38,33,42,39,41,40,38,45,41,41,1237,56,4742,94,134,168,45,60,50,56,113,58,56,35,58,53,51,68,73,84,217,17934,6437,105,62,54,55,117,40,1016,109,68,55,67,46,170,57,60,90,94,107,28,1683,53,47
ああ,ああ,アア,56,27,27,38,34,33,27,25,26,27,28,26,31,28,28,18144,65,7962,509,739,2058,55,71,72,79,226,55,54,140,55,50,49,61,96,106,1279,22802,3962,180,81,61,1310,3340,779,685,1466,889,359,738,689,671,2250,72,58,185,167,1036,13225,297,242
なんて,なんて,ナンテ,60,295,263,338,691,627,239,1362,227,290,296,263,347,292,286,10589,94,-1,232,355,317,83,106,115,122,202,109,104,192,109,100,97,90,151,168,344,-1,-1,156,106,82,385,1164,239,532,946,242,370,384,380,257,-1,108,171,166,151,-1,8470,359,363
や,や,ヤ,61,146,136,257,111,1259,557,524,92,199,86,316,159,120,182,24,67,419,33,37,26,36,62,128,135,59,151,197,330,151,138,188,89,46,53,61,1947,24,971,907,57,129,126,129,226,213,153,644,222,777,70,704,62,221,62,33,751,25,63,54
ながら,ながら,ナガラ,63,284,314,269,258,124,392,629,288,246,324,363,263,292,270,258,464,-1,87,114,115,641,463,421,438,75,467,499,27,467,431,477,79,592,617,186,-1,-1,37,3930,366,190,316,141,321,246,212,305,1822,217,212,5810,483,412,71,202,4334,378,170,152
そして,そして,ソシテ,65,784,834,591,1014,1001,1050,1118,744,996,932,511,978,1560,578,317,174,-1,93,133,137,268,194,205,214,122,164,335,61,164,151,319,125,131,143,160,-1,37,61,221,176,127,134,126,557,168,95,1427,257,991,285,-1,204,391,113,193,-1,499,93,69
こんな,こんな,コンナ,67,230,252,197,342,117,282,313,188,241,220,204,291,260,223,7635,114,-1,214,318,272,122,143,162,171,198,111,127,108,111,102,120,128,175,193,361,-1,-1,167,114,98,381,527,347,1195,945,195,238,517,551,338,155,149,121,169,177,80,6996,154,125
どう,どう,ドウ,71,76,85,75,57,75,85,68,95,80,80,82,66,72,82,860,52,42,64,76,88,94,51,35,39,105,42,41,17,42,39,37,71,41,49,162,5571,759,185,91,63,80,83,90,39,129,63,47,38,53,139,29,52,42,60,104,22,1012,117,64
いや,いや,イヤ,72,52,48,60,66,82,55,55,44,50,48,57,62,47,63,14937,84,494,537,4243,3073,46,117,107,114,167,92,75,94,92,84,70,102,124,139,783,233,6747,120,117,80,2054,9244,473,2473,3608,8169,70,131,81,2707,318,123,310,183,284,132,13835,135,147
はい,はい,ハイ,74,30,39,19,21,25,43,39,41,28,46,49,18,26,35,11012,45,1690,747,1175,2377,20,86,82,89,458,101,72,175,101,92,67,112,343,350,2233,9623,4972,358,89,74,209,637,459,1018,1126,197,34,4,29,1682,3810,88,134,308,638,7604,13179,90,62
さ,さ,サ,77,44,40,45,96,234,48,40,36,43,37,40,64,46,44,13,69,402,376,115,113,67,65,80,87,74,91,89,1732,91,83,82,63,35,43,37,2902,8739,90,148,72,168,180,162,319,68,313,423,778,994,159,82,65,159,93,22,104,136,121,111
じゃ,じゃ,ジャ,80,4252,4377,3701,3549,2876,4170,2391,2712,6699,3262,3399,4541,3974,4755,3438,26,-1,1171,1897,3343,23,34,211,220,65,123,450,3765,123,114,202,36,47,56,190,-1,24371,52,161,21,4019,2815,5553,4289,4963,2936,1987,4736,4897,1808,20529,35,236,222,49,8053,2190,52,285
うん,うん,ウン,85,1,2,2,1,2,2,2,2,2,2,1,1,2,1,12004,59,326,1062,1705,4034,50,100,102,109,588,71,51,369,71,65,46,86,284,239,3066,3755,13881,519,76,62,104,2172,186,201,939,450,1,8,2,2061,1798,103,722,393,584,2517,11480,158,145
ため,ため,タメ,87,8120,9191,4421,7639,2876,4170,4014,4667,4323,13585,6998,11750,10632,6427,34,104,507,60,24648,114,4843,90,89,20164,116,12793,18192,55,106,97,166,137,101,112,98,614,981,4002,268,111,128,119,139,276,157,191,283,690,236,11140,17928,94,120,102,71,15747,32,109,98
ちゃん,ちゃん,チャン,93,83,75,98,273,234,58,94,73,113,57,58,175,111,73,1863,70,-1,10134,269,437,59,152,95,102,287,74,39,648,74,68,35,73,450,389,464,-1,12863,258,127,53,390,2583,316,68,509,686,292,276,381,126,97,160,767,155,212,25,725,934,232
みたい,みたい,ミタイ,95,59,58,61,60,76,59,53,71,55,64,70,60,61,58,9757,137,-1,218,328,345,115,123,125,132,246,184,125,212,184,169,118,110,159,174,527,-1,-1,187,172,89,178,632,120,1099,287,269,66,107,82,235,134,133,188,213,131,67,9333,60,88
あれ,あれ,アレ,98,185,173,177,239,183,166,157,186,185,170,160,217,176,181,1416,109,-1,3996,4504,2566,114,163,194,543,262,296,235,106,124,115,137,223,251,262,295,-1,18105,269,112,94,2469,2328,2365,2848,2208,2848,741,356,3677,3328,159,174,117,268,161,135,11366,186,191
らしい,らしい,ラシイ,102,249,235,321,295,497,214,214,264,264,254,232,283,252,251,4119,301,-1,261,408,511,672,317,398,415,145,393,386,83,393,364,366,187,-1,-1,447,-1,19300,260,318,277,426,1015,249,1224,670,214,372,315,202,369,499,335,165,149,376,465,1097,640,407
ほど,ほど,ホド,104,703,665,1027,1152,497,620,686,858,657,846,687,885,740,696,388,309,312,114,151,152,487,300,290,303,131,247,469,63,247,229,448,153,354,390,256,1430,18775,100,383,241,289,335,257,571,338,376,366,1144,420,300,6084,315,921,129,247,4824,468,348,318
など,など,ナド,111,952,1047,1491,876,283,1050,2391,744,1016,1940,1238,589,748,1374,28,306,15617,37,51,39,392,348,343,358,133,252,568,72,252,234,546,201,555,589,87,-1,50,69,425,290,137,154,136,205,99,222,778,340,1429,90,-1,369,607,127,92,-1,29,131,120
より,より,ヨリ,112,239,238,257,276,256,221,303,278,237,226,259,252,250,235,38,171,-1,91,123,79,207,154,135,142,128,129,167,67,129,120,158,127,160,178,131,7011,305,106,194,119,164,195,191,48,207,226,163,216,147,134,1112,162,133,120,98,884,61,139,142
なんか,なんか,ナンカ,115,250,229,336,358,497,260,452,233,247,275,193,335,237,271,19307,139,13547,474,799,1408,172,235,459,477,334,321,392,316,321,296,372,175,475,489,2084,20844,-1,353,22857,129,232,678,147,528,234,150,222,379,266,846,12266,243,609,486,227,22803,13776,167,231
しか,しか,シカ,116,187,171,194,211,207,196,172,149,181,175,175,199,165,197,701,191,2282,197,253,230,377,206,217,227,219,188,236,128,188,173,224,186,285,306,287,9895,18963,345,285,151,291,417,225,1147,428,342,247,294,240,275,4377,214,499,188,168,12058,746,195,222
よい,よい,ヨイ,122,20704,17146,11364,7639,2876,4170,4014,4667,16460,13585,6998,11750,14238,21622,2623,105,1584,77,48,41,813,110,105,33,166,41,32,2359,138,127,104,188,5893,6294,551,17,18992,355,158,96,68,112,61,313,128,75,54,47,63,54,16,113,694,178,1270,11,1141,409,244
とも,とも,トモ,123,2944,3028,3237,1910,2876,2405,2391,4667,2435,4264,4109,2281,2144,4755,140,648,787,1289,906,588,452,688,747,1461,325,1121,1970,122,797,736,777,552,392,429,664,4805,440,153,965,406,1997,1526,2462,2424,3577,1235,1733,1356,1177,1596,3859,720,657,237,495,3538,545,763,378
くらい,くらい,クライ,127,77,81,82,87,108,83,84,63,77,82,81,88,75,83,4374,407,323,119,152,160,573,399,381,397,266,311,222,163,311,287,211,171,377,409,301,1446,-1,225,346,231,95,181,73,380,142,113,77,117,57,181,1313,419,669,220,196,887,4407,96,183
よう,よう,ヨウ,131,8967,7105,11364,7639,2876,4170,4014,4667,10817,3728,11052,11750,5523,21622,46,72,246,19645,284,64,155,73,77,5298,31,4850,7055,10,72,66,80,35,51,59,41,838,3841,476,292,106,706,672,664,1408,834,925,2697,466,655,223,537,75,45,32,47,888,42,42,38
もっと,もっと,モット,132,269,267,305,248,339,244,269,241,279,267,278,266,275,257,4559,224,-1,318,501,386,272,219,227,237,415,235,223,270,235,218,212,172,214,243,440,-1,10899,406,235,209,421,745,318,1220,599,229,195,711,259,525,360,229,332,377,276,116,4582,369,282
ずっと,ずっと,ズット,133,211,197,226,328,429,282,227,165,206,214,200,228,208,209,5827,278,-1,451,714,650,240,285,283,296,460,356,228,279,356,328,217,227,293,325,873,-1,21900,450,302,216,329,978,203,401,501,235,259,1149,175,930,381,302,1516,367,444,149,5722,445,316
こう,こう,コウ,137,61,65,54,61,39,64,57,72,57,66,64,59,60,59,499,284,59,100,138,221,2336,227,169,178,274,220,157,74,220,203,148,295,309,319,469,2468,1930,18060,329,264,50,50,50,272,49,39,38,83,43,448,137,236,594,177,472,90,1238,147,59
ばかり,ばかり,バカリ,146,433,397,591,607,497,620,1362,405,441,390,407,520,509,383,2088,541,-1,198,292,417,658,410,395,412,180,542,575,104,542,499,551,321,560,583,493,-1,-1,151,478,472,624,1727,365,612,1379,532,378,883,650,509,-1,434,617,208,511,-1,2403,775,1020
ちゃんと,ちゃんと,チャント,150,210,200,251,215,155,232,160,264,198,204,233,249,230,194,19729,252,-1,781,1206,976,213,449,449,467,740,454,224,525,454,419,213,233,670,663,1131,46,-1,721,390,208,757,1254,507,1440,837,711,201,1218,395,803,503,473,710,650,533,180,10826,296,289
どんな,どんな,ドンナ,153,581,650,537,536,429,620,1118,1428,556,553,854,543,613,571,5815,276,-1,271,422,302,317,272,298,311,324,336,354,174,336,310,337,367,213,244,652,-1,-1,294,308,279,496,746,557,148,1629,326,351,279,139,680,440,285,667,330,459,283,5866,377,355
こそ,こそ,コソ,177,497,501,531,566,722,513,452,1168,478,651,589,414,566,455,2251,254,-1,324,508,523,510,374,251,263,356,243,326,211,243,225,310,240,398,422,645,-1,-1,479,332,235,990,1268,694,1606,997,1350,514,908,336,915,18697,397,447,272,494,19311,2656,590,459
おい,おい,オイ,188,938,801,1169,2451,2876,788,1362,433,996,805,1079,1941,748,1288,94,133,3565,1777,2656,8137,15851,167,161,169,940,100,155,4406,100,91,146,581,176,200,1086,6536,13935,6042,204,154,6973,8099,5773,7142,1754,10545,2221,7498,7516,2365,12432,175,1042,708,597,23465,13257,1184,532
ゆっくり,ゆっくり,ユックリ,189,717,754,983,1587,171,698,1118,633,564,846,887,1277,809,667,9003,864,-1,710,1094,1094,846,781,781,812,531,1131,1012,338,1131,1049,974,307,939,977,1889,70,-1,526,950,962,1673,2155,1191,2155,2064,1115,722,2728,3166,1683,444,815,697,465,1405,214,10631,1162,1084
ほら,ほら,ホラ,191,113,102,118,367,283,94,222,90,139,87,91,163,142,98,5087,198,4284,2374,3389,9493,189,266,267,279,1282,332,173,816,332,307,164,259,371,402,6375,22601,-1,1291,303,195,1587,8523,4614,170,3366,1962,719,531,1643,5357,15696,277,1603,955,2937,16246,3773,1778,628
ほう,ほう,ホウ,215,374,356,356,592,1259,1050,430,517,306,358,468,529,313,447,2171,204,16,3960,5294,1293,153,174,202,2073,160,2012,2356,183,172,159,156,398,558,542,490,40,8748,93,359,140,8335,10360,11171,8474,8818,11526,8743,326,2227,5974,24184,184,5510,217,415,61,2383,583,277
つつ,つつ,ツツ,221,1319,1697,1027,764,1733,1304,686,2712,1677,2692,1731,786,1415,1250,1030,3182,3758,584,631,788,4736,3470,2820,2905,605,2438,2506,362,2438,2266,2421,549,3553,3777,654,5845,-1,776,2218,1475,1274,1297,1083,1826,1978,781,1124,1297,1579,823,6895,3652,1366,425,883,15495,1445,1514,1062
せい,せい,セイ,250,20704,25005,7212,7639,2876,4170,2391,4667,16460,13585,11052,11750,21702,14260,2038,411,804,3172,111,3088,2047,258,240,21378,556,7513,17594,207,423,392,401,416,353,383,1263,909,9158,1391,443,387,147,98,441,560,376,279,477,1123,993,177,191,270,1038,418,509,357,2980,1939,1413
さえ,さえ,サエ,268,1433,1303,1574,2451,1733,1304,975,1428,1147,1819,2276,1941,1328,1569,3385,790,1807,419,695,1188,1269,973,823,854,318,526,1054,198,526,483,1016,467,587,650,918,-1,-1,402,860,535,1678,1957,1178,2159,3403,2786,1675,2732,3171,1847,19440,1022,1158,405,967,16569,3710,2471,1643
