word,hiragana,katakana,JPDB_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
すら,すら,スラ,270,1753,1668,2363,1587,1733,2405,572,4667,1433,2261,4109,2281,1328,2636,3862,2060,-1,1297,2085,1922,2658,2212,1823,1876,1054,923,1825,762,923,857,1764,598,1662,1873,2332,-1,-1,1328,1421,1089,3688,4770,2612,3977,4693,5494,955,1473,4619,2261,15846,2327,1297,623,1503,14471,3676,1691,2086
つく,つく,ツク,276,656,1783,764,194,1259,1050,1118,1896,1433,1940,3399,259,514,941,4383,247,23920,364,80,74,1788,229,341,363,139,478,574,155,382,353,397,199,3054,3178,2118,1866,-1,1066,668,260,94,61,177,66,80,295,361,412,776,111,166,237,145,114,1265,261,1005,199,80
あら,あら,アラ,278,323,284,442,876,1733,173,327,517,356,332,225,564,482,256,10119,364,504,3083,3867,9826,548,563,553,576,1403,718,509,501,718,664,487,843,698,773,3374,2901,-1,1048,559,555,3690,3596,4342,3979,4695,1596,759,437,744,4853,6788,593,1322,1745,1622,24436,8784,5754,3744
よし,よし,ヨシ,279,490,503,434,844,722,251,284,984,621,414,458,945,438,551,4768,272,1236,3125,3906,6557,245,298,307,321,1404,362,430,508,362,334,410,669,220,242,3277,10709,14598,1099,327,372,5235,8038,3779,5445,6007,3494,5883,1017,5934,5911,9643,316,572,1016,1061,8970,4458,1604,348
とる,とる,トル,327,500,1139,2179,139,1733,1688,1118,1896,2069,985,733,205,357,953,3233,235,-1,2279,3366,584,404,326,413,743,201,479,1103,95,379,350,440,503,-1,-1,1762,362,-1,455,688,407,2816,2677,3321,3162,2282,680,1241,3669,3934,2335,78,347,399,189,1342,100,957,646,188
つい,つい,ツイ,340,1551,1366,3237,1910,722,4170,1705,1896,1381,1727,1383,1941,2075,1288,86,1336,164,1463,2315,2518,1316,1871,1877,1930,1042,1694,1153,65,1694,1571,1111,997,3293,3376,653,1941,19340,1188,1250,1630,2735,4905,1721,3084,1265,2004,3821,3602,3873,3158,1257,1975,3209,1045,402,636,16907,3300,1387
どれ,どれ,ドレ,342,4252,3547,5421,7639,2876,1688,4014,4667,6699,2261,4109,11750,4621,4107,5619,633,-1,18734,19455,1741,2557,740,652,12020,910,3231,10422,244,671,621,594,569,449,488,1059,22224,-1,4245,1078,603,668,15976,966,1382,749,475,407,240,312,14590,393,771,2313,626,674,435,5549,544,506
はっきり,はっきり,ハッキリ,363,1277,1614,1224,661,1733,1688,848,1428,1808,1629,1731,803,961,1876,4510,1311,-1,765,850,1369,1188,1520,1459,1503,514,1417,2024,321,1417,1314,1955,1128,1088,1222,1113,935,-1,481,1816,1247,898,985,769,1541,697,693,573,2160,576,2364,962,1605,-1,714,2024,660,5819,2097,1325
どんどん,どんどん,ドンドン,379,449,441,545,476,339,620,1118,858,448,592,343,448,406,484,15152,1143,-1,1075,1743,1141,1421,1959,1873,1926,2298,1297,1504,1611,1297,1208,1451,987,3987,3773,1431,106,-1,2243,1277,1180,443,845,308,1236,1848,362,273,1904,1009,2320,1453,2068,841,1586,1588,717,16445,433,351
すっかり,すっかり,スッカリ,382,3103,2572,3701,7639,2876,1688,4014,1896,3517,3728,1876,4541,3722,2636,16430,1601,-1,1150,1877,2481,2187,2509,2359,2429,645,2191,2007,428,2191,2033,1938,1229,3965,4329,2384,594,-1,684,1655,2297,4275,9284,2620,4533,5177,5587,5061,4968,5106,2999,1635,2637,2469,982,4260,905,16866,7544,6868
まい,まい,マイ,386,7460,7993,5421,4754,2876,4170,4014,4667,10817,4264,5139,7431,8574,6427,9862,965,1250,1026,1669,5908,3489,1507,1405,1446,396,771,1585,243,771,713,1531,983,2049,2033,2615,1343,5380,3119,6573,774,6449,5252,6568,6632,7080,4410,6967,6995,7035,4642,536,1578,1815,691,586,974,6403,9425,5502
のみ,のみ,ノミ,395,2688,5365,1574,1152,2876,4170,1705,4667,3860,3728,5139,1277,2395,3058,171,1428,6895,344,503,398,2345,1646,1636,1682,877,1198,3078,548,1198,1113,2970,1210,2030,2140,665,-1,2294,984,1377,1149,584,359,1743,1321,219,3184,2665,1984,2665,328,18991,1726,797,875,463,19634,149,1414,1324
そうそう,そうそう,ソウソウ,410,20704,17146,11364,7639,2876,4170,4014,4667,10817,13585,11052,11750,21702,14260,9736,5680,16524,7063,6165,9958,6366,9423,8870,9098,5182,4867,4903,3854,4867,4542,4726,4375,3628,2699,3878,292,-1,5106,1933,635,17027,17611,12647,17058,17210,18624,17199,17210,17218,7443,3256,9802,2487,3197,8393,3345,11719,13013,854
ぜ,ぜ,ゼ,439,898,855,803,1716,2876,904,452,2712,1124,568,1238,2281,657,1599,8086,98,1555,1236,1993,4142,328,173,186,195,483,66,160,21902,66,60,151,256,226,257,2316,2351,-1,334,171,85,9188,10393,7852,9310,9627,3645,9565,9605,9606,788,12855,183,455,572,286,11628,3662,1190,758
もつ,もつ,モツ,445,4442,3730,5421,7639,2876,4170,4014,4667,3224,13585,2059,11750,6269,3619,2282,975,-1,79,95,2050,192,1528,1332,139,314,153,159,131,864,800,1256,651,-1,-1,2335,207,-1,107,1092,778,106,144,94,62,212,128,143,686,169,15811,17086,1613,1116,485,4426,21367,1095,1666,946
ふむ,ふむ,フム,464,16266,25005,5421,7639,2876,4170,4014,4667,8262,13585,11052,11750,10632,21622,15297,2458,-1,9862,10217,16486,2765,4654,5167,5297,2194,2140,1953,2566,2140,1986,1888,1027,5727,6084,19862,580,-1,1057,2025,2341,3277,3936,2262,3595,4381,8533,4239,4076,4296,9731,1947,4861,1162,2628,12514,1605,15669,2878,11297
てる,てる,テル,478,18,15,24,23,17,15,22,14,19,17,16,23,19,18,3931,21,-1,49,67,54,58,16,15,15,72,20,17,135,20,18,17,24,-1,-1,199,21446,-1,201,2801,252,31,43,27,197,56,41,22,31,25,38,-1,16,31,56,27,20233,1675,34,27
きり,きり,キリ,485,3966,3730,4421,3549,2876,2405,4014,1896,4323,5138,3399,3839,6269,3058,7698,3746,1537,1550,2436,3964,12020,2906,1850,1903,1216,2237,1526,695,2237,2075,1473,2767,2841,2917,4121,3192,21614,15274,2891,1869,3381,5372,2128,3693,4452,8571,4317,4165,4375,3265,8064,3058,5575,1434,3312,7926,5838,7806,7526
あっさり,あっさり,アッサリ,505,3966,3142,7212,7639,2876,4170,1705,1896,4323,5138,2540,7431,3486,4755,21104,4398,-1,3758,4655,6383,5771,7483,6502,6663,2711,3415,3812,2010,3415,3187,3672,2050,16901,14376,5679,2675,-1,2881,3535,3326,9597,16694,6703,9714,2757,12494,9955,9994,9988,5141,1306,7803,4569,2015,7901,1561,13879,7394,6269
はは,はは,ハハ,510,5687,5828,4421,4754,2876,4170,1705,4667,6699,6377,4109,5541,5523,5712,830,841,272,8758,10772,23803,137,378,6516,1224,381,779,881,4265,2834,2642,3989,1425,20055,23080,1129,1027,1108,278,891,516,608,20041,325,1341,693,998,295,1189,500,8817,378,383,1723,4200,722,263,586,3380,1997
きちんと,きちんと,キチント,524,1629,1813,1224,1910,1259,1688,2391,2712,1808,1159,1486,2677,1879,1472,15678,2854,-1,1141,1372,974,2314,3683,3307,3398,2195,5710,2770,1539,5710,5334,2677,2179,3502,3803,1533,1046,-1,2308,3065,2880,1177,1223,914,1747,1450,1057,1569,2345,1091,2682,1626,3852,4844,1778,3164,1376,16207,3542,1328
たる,たる,タル,530,4880,4147,5421,7639,2876,4170,4014,4667,3517,5138,3399,11750,3293,10747,2654,6553,3538,20099,20706,14767,1853,9995,6517,6679,3521,6084,6509,2832,6084,5689,6268,5012,22408,8495,2778,2713,-1,1147,423,8695,12238,7739,16916,12320,12534,6569,12511,12530,12541,10245,3517,10396,-1,6132,3375,3313,17516,14081,3650
ど,ど,ド,538,4442,4147,5421,3549,2876,2405,4014,1896,3224,5138,6998,7431,5029,4107,3892,389,386,2509,3094,3503,302,612,2015,2583,768,1672,1964,76,943,875,1191,476,1279,1268,1357,251,18657,356,1132,368,4858,4117,4630,1040,5683,6081,1306,5511,5600,2313,4105,640,2374,820,1238,2791,2309,1664,864
なり,なり,ナリ,554,1684,2647,899,1231,2876,4170,1118,2712,2069,1940,1876,1216,1442,2047,76,686,2344,338,496,701,426,1039,1103,7140,361,5291,5633,14998,824,762,1518,725,1859,1941,120,10158,22460,152,3527,725,1573,1552,1257,289,1217,4001,1157,752,1128,829,17555,1097,1445,257,112,20896,1344,1217,372
よる,よる,ヨル,569,7460,6382,11364,4754,2876,4170,4014,1896,10817,6377,5139,7431,6269,8749,55,516,91,13427,15470,165,463,689,330,8682,571,5926,12130,123,313,289,535,339,17580,18201,883,725,3662,209,9557,450,700,3925,366,1405,753,1521,502,2052,440,13526,545,722,69,162,1123,257,501,521,124
わし,わし,ワシ,577,5687,4679,7212,7639,2876,4170,4014,4667,16460,2939,2907,11750,3974,10747,20105,280,15137,1320,1856,10601,450,551,559,582,366,260,1748,1039,260,242,1689,3392,877,1024,6706,2275,-1,422,1634,520,12189,16995,14964,12271,12487,2115,12463,12483,12494,5446,825,571,8504,929,3234,1563,12792,10740,10823
きれい,きれい,キレイ,580,20704,17146,11364,7639,2876,4170,4014,4667,16460,13585,11052,7431,21702,14260,14928,779,967,481,758,2685,2300,607,578,603,1245,1334,921,491,1334,1239,886,2626,1171,1095,2036,201,-1,8100,1012,674,516,1561,314,415,677,363,331,717,563,544,566,637,4001,1717,1712,382,13406,1866,1284
おっと,おっと,オット,594,1998,1736,4421,1910,1733,1304,2391,1896,1677,2261,1731,4541,1951,2117,1509,645,699,13671,14449,15065,705,486,1606,1652,540,1045,1909,5991,1045,969,1845,4528,1607,1575,1349,1359,4701,540,1033,3202,8892,4849,24151,9018,9351,11953,9280,9320,9323,9094,2755,493,4137,6582,1251,4450,1246,420,4974
ころ,ころ,コロ,600,16266,13258,11364,7639,2876,4170,4014,4667,16460,13585,6998,7431,14238,14260,2334,1001,107,231,246,4044,1719,1475,1430,525,590,961,21344,507,1091,1013,714,1356,3536,3550,1692,729,1695,907,1839,1618,22169,1377,20402,22175,22260,4921,22267,22276,22287,18950,18092,1548,1951,1018,2110,13086,2889,3588,3401
あう,あう,アウ,608,6453,7993,3237,7639,2876,4170,4014,4667,5635,4264,6998,7431,5523,7428,17673,2382,-1,332,446,397,1151,3524,11487,11785,982,6007,2608,336,6731,6295,4597,746,20646,21808,5139,997,-1,1216,4563,1828,18633,2714,13996,18655,18783,20044,18779,18793,18792,16036,274,3691,2810,3050,2485,191,3732,3784,3830
びっくり,びっくり,ビックリ,641,414,371,509,1072,397,513,397,433,388,445,338,620,562,344,23741,1228,3037,4599,1861,1691,1317,1856,1783,1836,1218,2024,1066,814,2024,1877,1028,1378,3249,2763,2381,923,-1,1331,2501,1165,1184,5183,612,1753,3226,1536,454,2351,586,947,1739,1962,7698,1723,2191,810,13865,2247,1160
あらゆる,あらゆる,アラユル,649,10047,7993,11364,7639,2876,1304,4014,4667,16460,13585,11052,5541,8574,10747,3072,2850,-1,938,1551,1781,4358,2559,2297,2367,1277,2036,4630,808,2036,1889,4462,2232,1635,1806,1890,3914,-1,1318,2390,2640,3156,3179,2464,3479,4289,3377,4137,3970,4203,3790,2155,2690,1590,1546,2567,2070,3818,2334,1876
ずつ,ずつ,ズツ,660,506,631,403,375,460,513,412,984,504,615,589,431,555,477,1751,2220,-1,618,1009,832,2798,1811,1320,1360,1027,1716,1288,725,1716,1591,1242,2613,2519,2523,1561,-1,-1,1957,2445,1254,720,780,582,1419,688,1094,825,2058,1038,1443,-1,1911,2486,1073,1800,-1,2016,1407,680
おや,おや,オヤ,689,6453,5365,11364,4754,2876,4170,2391,4667,4862,8594,4109,11750,6269,6427,1672,1467,240,5608,7136,21364,2070,2249,2708,2788,2342,2009,1799,1535,2009,1864,1738,2653,2379,2495,13587,2643,14187,1854,13393,2483,523,18830,292,1287,741,1336,664,1944,186,13893,1410,2377,2656,4012,4855,1287,18187,13469,12453
のう,のう,ノウ,723,13446,10802,11364,7639,2876,4170,4014,4667,16460,5138,11052,11750,14238,10747,18425,792,4377,6005,7897,23802,2399,1625,1913,1967,3154,562,3610,2031,562,519,3482,1928,16577,16452,24458,906,14078,2621,2544,895,1555,1673,19195,2055,484,3983,601,2641,3096,8697,2246,1705,1245,3013,6555,1470,11369,24430,13942
そっくり,そっくり,ソックリ,766,3250,2572,5421,7639,2876,4170,4014,4667,2989,5138,1383,7431,4277,2636,13140,2010,-1,4656,5432,8194,2770,2395,2382,2455,2192,2838,3293,1631,2838,2646,3175,4156,3045,3291,6663,4015,-1,2298,2262,2932,7290,10314,5425,7450,7842,6034,2234,7798,7810,5938,4243,2513,7547,3063,4519,3704,8085,3971,7392
だんだん,だんだん,ダンダン,781,20704,25005,11364,4754,2876,4170,4014,4667,16460,13585,11052,7431,14238,21622,23170,4105,1452,1821,2784,6275,4522,6391,5582,5720,2040,4377,3294,1521,4377,4090,3176,2845,7495,8120,3362,490,-1,1874,4005,3434,525,1247,332,1288,1140,380,376,1945,1017,5288,3700,6665,-1,2461,5454,1909,19830,2421,1475
うえ,うえ,ウエ,808,2319,2048,3701,2451,1733,4170,2391,1428,2435,2091,1876,3327,2009,2743,2460,2911,4,127,153,171,532,3043,3257,7267,1424,4818,2648,50,2210,2051,2559,4625,9084,9215,3029,108,1964,141,1954,2105,219,209,228,195,263,168,482,82,265,273,119,3213,389,1637,142,155,3728,5964,2988
とある,とある,トアル,822,11455,9191,11364,7639,2876,4170,4014,4667,6699,8594,11052,11750,14238,8749,10270,9018,-1,7315,9319,4561,6331,14605,11854,12155,7058,6952,5486,4939,6952,6508,5290,5758,16870,16717,10441,-1,481,3085,6239,9280,7487,10327,5617,7642,1762,10896,7937,7985,7998,5319,2521,15091,4065,4984,6360,3657,8559,7678,6480
つる,つる,ツル,926,8120,13258,5421,7639,1001,4170,4014,4667,6699,6377,5139,11750,14238,5712,12670,1175,2130,8609,8810,16912,893,1659,9471,4885,2768,14769,6437,3639,10173,9537,2183,1981,8117,9317,12129,6374,13684,15367,1145,1553,6335,6822,4982,6520,2613,10135,6866,6888,6930,2620,2300,1780,10059,4258,7515,16187,6587,2733,5580
いざ,いざ,イザ,928,3410,3547,3701,2149,2876,4170,2391,2712,2989,4264,4109,2976,3486,3401,15992,2376,-1,2723,3935,2905,3668,4210,3612,3707,3034,2505,2151,1996,2505,2326,2080,2577,8848,8773,4493,-1,-1,3580,3414,1997,3062,6179,1844,3390,4217,5387,1253,3888,1850,4513,-1,4406,1138,2848,4670,-1,12094,4227,3982
うる,うる,ウル,931,20704,25005,11364,4754,2876,4170,4014,4667,16460,13585,11052,7431,21702,14260,3617,140,-1,634,990,563,484,244,14116,14489,1984,8259,9181,1050,8259,7725,8831,904,-1,-1,2834,2288,-1,655,3488,206,980,2509,547,655,3166,3204,512,907,399,1146,13808,255,7380,18140,2929,6733,3164,2578,4121
つ,つ,ツ,1075,163,170,161,148,127,324,208,288,145,189,173,140,154,173,61,461,1378,3839,89,96,745,388,133,140,427,125,170,9425,125,116,161,584,70,80,635,-1,8690,1176,955,463,62,47,93,91,70,72,136,570,125,185,64,413,333,110,162,97,203,144,79
しょ,しょ,ショ,1096,13446,17146,5421,7639,2876,2405,4014,4667,16460,13585,5139,11750,10632,14260,4152,2615,46,3929,296,1896,3263,3007,7711,707,7808,1240,1294,555,7216,6757,8533,2249,76,88,2419,5115,10831,2146,2860,3433,834,787,852,1492,694,478,2734,1236,1053,302,1060,3163,1105,13647,3661,1186,9817,5972,7736
どころ,どころ,ドコロ,1165,3599,3028,5421,4754,2876,2405,4014,1896,3517,4264,3399,3839,3136,4411,9739,3596,-1,1440,2293,3162,4559,5408,2087,2147,3239,1264,1996,821,1264,1176,1928,3242,3167,3192,3806,-1,-1,3975,3015,3627,4758,7139,3290,4996,5597,5673,5469,5414,1297,3345,-1,5675,3111,1020,4675,-1,19368,4143,2852
くう,くう,クウ,1174,2467,4377,899,7639,2876,4170,4014,4667,16460,762,11052,11750,1477,8749,14368,914,-1,1193,1622,20727,511,1068,5364,5496,3349,3007,2343,3779,3007,2804,3603,374,-1,-1,23239,2652,-1,731,2631,728,2209,4627,1353,747,3687,1373,1768,3155,3489,10649,661,1126,2241,6891,15201,15619,9581,5028,12642
すう,すう,スウ,1202,2944,2722,4421,2913,1259,4170,759,1168,2989,2447,6998,11750,2575,3401,16168,2522,-1,1696,11245,3205,140,4183,13540,5075,8154,11792,7772,3154,19805,18561,8900,1678,-1,-1,20879,94,-1,1513,11833,2432,1707,7480,19339,2184,3417,2436,3133,2754,3193,11285,6069,4392,3431,19376,23247,1969,14170,8800,19688
ゆったり,ゆったり,ユッタリ,1314,6881,5828,7212,7639,2876,1688,4014,1896,8262,5138,11052,11750,5523,8749,23497,19978,-1,4549,5267,2969,8476,18715,15962,16380,5830,19919,16926,4760,19919,18668,16263,6809,19410,21485,6773,1080,-1,8555,17306,15507,5532,23353,3358,5738,6260,9640,6140,6133,6204,4371,4710,19271,-1,5273,11941,5103,23627,11765,6621
ちん,ちん,チン,1326,3322,2647,5421,7639,2876,4170,4014,4667,2435,3728,2276,7431,7239,2267,15845,4231,377,16788,12962,15046,3632,6577,9745,5646,9247,6972,4535,3086,2841,2647,3510,974,-1,20911,7867,18350,6478,2895,7872,3671,17949,24008,15319,17974,18112,19434,18104,18116,1404,9203,18259,6840,-1,8622,2111,3947,7759,13532,7333
へん,へん,ヘン,1348,525,459,2034,566,1733,4170,4014,278,616,315,1731,868,412,749,12855,566,99,4337,5919,8733,434,1109,1516,1562,1050,1898,2231,1001,1898,1764,2160,1789,5144,4276,3131,320,3758,722,4165,1144,6205,6231,7136,6395,6868,1615,6742,1575,2133,5013,735,1188,7829,2031,2936,229,11368,1812,694
ぽん,ぽん,ポン,1388,2809,2919,2363,3549,1259,4170,4014,1896,2798,2091,3399,3327,2691,2912,24739,8435,-1,9438,8282,12898,3992,9068,12183,6710,6504,11349,7811,3175,11349,10645,7516,3203,-1,-1,9587,-1,-1,5395,13205,10422,3119,3714,2347,3443,4259,2253,1889,3938,4174,4933,3492,9437,-1,6929,8466,2796,16511,6471,4778
ちゃう,ちゃう,チャウ,1439,56,57,57,73,58,54,71,52,58,63,45,65,64,56,21567,87,-1,272,425,543,2435,153,154,162,499,119,81,839,119,110,75,91,-1,18111,1510,-1,-1,13231,3567,166,171,815,119,60,454,249,73,169,93,165,-1,161,347,303,374,-1,4417,115,101
かた,かた,カタ,1449,20704,17146,11364,7639,2876,4170,4014,2712,16460,13585,11052,11750,14238,21622,7525,6761,310,788,1239,7168,2805,4289,5464,1980,1094,2514,1954,264,8935,8367,5469,5957,6624,6589,3229,645,19338,523,2121,11014,2585,4496,1554,2955,3913,7618,3708,3469,3762,2936,369,4487,3392,2584,4515,367,7243,5627,2130
こん,こん,コン,1454,16266,13258,11364,7639,2876,4170,4014,4667,8262,13585,11052,11750,10632,21622,12592,3931,3217,6980,17960,11764,1481,5705,4536,17171,7884,4983,6408,6443,2673,2486,3565,6079,5264,5354,3538,4654,16896,2458,4361,4555,16327,15657,11770,16365,16520,18014,16506,16529,16529,6934,23248,5982,7641,5249,3456,-1,10453,4346,1597
ねん,ねん,ネン,1462,673,596,1027,1342,2876,1304,4014,481,935,329,3399,2095,677,690,3950,1148,115,3311,4640,11343,117,1355,1183,1219,3955,1971,2106,2477,1971,1830,2036,8260,5890,4742,9712,1013,948,118,14389,823,8893,8711,13301,9019,1774,1888,9281,9321,9324,2021,206,1436,3119,5733,2477,250,6650,8624,1106
あわ,あわ,アワ,1497,20704,17146,11364,7639,2876,4170,2391,4667,16460,13585,11052,11750,14238,21622,17367,16922,2084,5874,7062,7216,9579,13031,9893,5795,16890,11445,9631,1868,20936,19617,21178,7978,21287,7275,10490,1520,-1,4849,4476,13358,5902,8620,4038,6097,6597,9859,6466,6483,6532,5523,4466,13498,-1,4694,8304,3359,22807,6186,5473
たり,たり,タリ,1604,122,125,132,137,87,122,144,156,115,151,149,108,129,121,291,221,-1,83,108,68,2178,236,279,291,129,376,198,77,376,347,189,164,391,410,156,-1,-1,1772,1042,265,84,256,62,87,194,135,68,375,76,161,-1,245,631,139,124,-1,244,106,81
つう,つう,ツウ,1650,62,60,63,56,93,75,50,54,64,58,60,57,52,72,14037,2400,483,277,433,551,1693,3741,370,163,15210,80,96,3322,292,271,315,5586,757,787,13116,7100,19301,2655,3033,1812,334,883,210,1007,1355,304,325,171,154,795,9033,3919,3724,416,12507,9313,18332,4566,1193
たん,たん,タン,1681,2944,2418,5421,3549,2876,1050,1705,481,10817,2692,6998,5541,2691,3234,11715,710,580,23727,13784,11805,22844,976,6171,6328,2922,6890,3022,2062,6890,6446,2915,1474,14320,18508,3837,2854,16347,12778,12806,1258,1963,1400,4334,2396,202,8152,1189,2960,3334,3041,6860,1029,9562,9337,1880,10024,6226,1719,1821
ぶん,ぶん,ブン,1725,16266,17146,7212,7639,2876,4170,4014,4667,16460,8594,6998,11750,14238,14260,5715,5026,102,1001,219,17691,239,4012,5879,278,1946,614,660,206,9548,8952,8275,3668,13876,14985,6133,395,6137,477,6605,11525,18722,17822,15391,18744,18871,20121,18867,18880,18879,350,20892,4189,506,5366,5457,16443,7447,3448,3866
