word,hiragana,katakana,JPDB_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
とく,とく,トク,1737,170,191,135,147,207,232,147,227,196,149,141,162,177,160,12603,311,56,1770,2707,3304,11315,339,295,308,1030,280,244,1074,280,259,231,681,322,365,5953,1670,9176,9779,14097,411,900,1397,707,1543,3141,384,297,96,1061,1250,1772,364,1683,1351,1976,1731,5500,1276,573
ほお,ほお,ホオ,1820,4252,3914,4421,4754,2876,4170,4014,4667,8262,2447,3399,4541,3486,5712,19389,5877,506,2505,2828,7966,2953,7558,7424,7065,9829,6572,5239,598,5362,5004,4425,8403,10341,9779,23372,1171,8141,759,4630,3672,11597,24745,8797,11684,11912,14040,11888,1655,2324,7237,643,7882,9652,14940,14969,368,14194,15457,11495
おす,おす,オス,1841,13446,13258,11364,4754,2876,4170,4014,4667,10817,8594,11052,7431,8574,21622,9860,4669,1685,723,1114,1101,1439,13126,4915,16383,4292,1370,6463,467,8574,8021,3898,9742,17721,15532,6148,518,16852,1126,17019,9072,22371,1445,16568,22376,22457,23443,22467,22477,22485,891,1170,13586,7130,10334,19050,762,22356,16036,10821
こだわり,こだわり,コダワリ,1929,3410,3028,3701,4754,2876,2405,2391,2712,3224,4264,3399,3327,3136,3849,11918,8370,-1,4798,6043,2522,5013,10238,7696,7887,15990,11380,8796,9422,11380,10674,8456,10664,15866,14623,4502,13986,-1,12549,7575,8694,5147,4028,5095,5364,5929,9423,5810,5776,5856,2401,8595,10641,5411,10659,6264,7002,12093,7410,5167
ちい,ちい,チイ,1965,6453,5365,7212,7639,2876,2405,2391,4667,6699,4264,6998,11750,4621,10747,1561,7011,1737,1780,2253,24038,3724,8690,12707,13035,16651,7411,4278,6957,12972,12157,14503,10965,3947,3965,24164,11259,22729,2613,1950,8036,4453,3801,4436,4704,5328,2570,5199,5130,5259,22657,21557,9035,-1,3027,11386,16315,23314,15380,5393
はる,はる,ハル,2060,1319,1192,1491,2149,2876,1688,4014,2712,4323,541,2540,2443,2575,930,8091,918,335,3169,4444,9134,517,1778,3256,3346,1437,4613,1355,2260,4613,4313,1308,3194,4260,4151,9359,1273,15304,1255,15467,1492,2579,2513,4941,2949,119,2236,3703,3465,3758,4091,855,1869,3729,3075,5991,805,2680,5643,4627
へい,へい,ヘイ,2094,3170,2722,3701,4754,2876,904,4014,984,6699,2939,2907,4541,2970,3401,13174,1446,2576,15825,16684,8963,2500,1328,3721,3821,656,3041,5642,2011,3041,2836,5440,1724,12418,12325,4527,9546,20616,994,6167,4494,19248,14353,24616,19265,19390,20606,19385,1090,19399,19734,532,1320,1447,9527,2540,1816,956,1405,4663
マスコミ,マスコミ,マスコミ,2111,11455,9191,11364,7639,2876,4170,4014,4667,16460,6377,5139,11750,14238,8749,5377,3853,-1,2661,3251,4025,2584,3837,3486,3580,4847,14698,10573,4132,14698,13789,10167,13170,4840,5463,1961,-1,16126,5005,9930,6174,3536,4638,2468,3835,4575,3400,4444,995,1906,4534,15196,4029,-1,5390,4535,10563,5887,4071,5162
べし,べし,ベシ,2142,1086,1390,983,566,1733,1304,686,1896,1381,1462,1383,729,878,1443,11347,422,-1,126,170,233,10295,208,207,216,239,342,539,133,342,316,517,286,-1,-1,5365,-1,-1,4335,8158,405,571,465,691,1313,962,651,810,1974,1473,429,-1,215,371,223,6454,-1,704,391,302
けん,けん,ケン,2164,5116,5005,5421,3549,2876,4170,2391,4667,5635,6377,2540,7431,7239,4107,1990,758,2625,11459,13640,19629,578,472,3829,4955,1252,8536,11221,1163,8536,7988,6767,1181,17750,16257,8260,4610,3133,1875,6417,1196,12287,11820,10515,12369,12580,6575,12560,12576,12590,12360,698,454,7822,8775,3883,799,2061,1589,4131
どうこう,どうこう,ドウコウ,2192,4649,4679,3701,4754,2876,2405,1705,4667,4323,5138,4109,7431,3293,8749,5065,10619,3927,19342,18071,11993,4166,14165,11674,11973,15089,6189,7778,8949,6189,5786,7483,4832,20718,19120,12911,6304,-1,4504,10364,5946,7953,8123,6610,8098,8460,6110,8379,8430,8434,16694,4559,14703,1860,14205,17286,3351,5617,14098,8122
わん,わん,ワン,2249,2944,2647,2617,7639,2876,788,4014,2712,3517,5138,4109,2095,8574,1876,18163,8196,4793,23092,15572,9355,983,15156,17579,18049,17080,13132,11634,4361,13132,12307,11185,6863,7775,7704,9760,17965,-1,11719,11086,6982,14931,10649,15081,14988,15149,16815,15138,15162,15161,6435,12161,15730,7148,17475,7768,8673,10262,10436,8994
もち,もち,モチ,2325,16266,25005,5421,7639,2876,4170,4014,4667,16460,13585,5139,11750,21702,10747,7287,4695,3039,5241,6895,19530,5267,7099,24172,7043,3787,7682,3655,5466,17175,16094,3525,1780,15774,17713,4659,6178,22886,2405,9045,8805,15787,23260,11035,15831,15990,17538,15974,16004,16001,23918,2002,7391,-1,15390,3315,21517,8358,5715,6554
ちゅう,ちゅう,チュウ,2440,6059,4679,11364,7639,2876,4170,4014,2712,3517,6377,11052,11750,14238,4107,3253,1857,2110,5755,22741,16517,19801,2181,4200,5864,2291,11093,7075,1741,3838,3583,4826,1370,22417,16885,12657,5852,20116,2896,18913,10288,14048,12995,10051,14112,14288,16063,14274,14293,14297,12876,17330,2285,-1,8008,11113,1960,6566,18045,8845
あご,あご,アゴ,2455,6453,5005,11364,7639,2876,4170,4014,4667,16460,4264,11052,2976,21702,4107,9516,15830,2148,2788,3826,19932,6799,8643,7732,6830,5428,9247,8903,1186,14564,13660,22528,9573,13012,14574,16108,3008,-1,1554,15061,12258,5047,4793,4633,5267,5845,3485,5720,1015,5766,5891,1777,8989,9294,8653,14946,1890,7210,15273,9800
くら,くら,クラ,2501,16266,13258,11364,7639,2876,4170,4014,4667,8262,13585,11052,11750,21702,10747,15357,8208,2210,18783,21936,16365,5416,5540,7729,14816,6490,4245,1149,2282,6411,5994,5412,8610,9235,10004,9761,20628,-1,5487,7822,5070,23010,16283,17916,23014,23090,24010,23101,23109,23117,23272,21113,5798,-1,24631,8035,12207,8519,20523,9815
がん,がん,ガン,2734,6453,5365,11364,4754,2876,4170,1705,4667,5635,5138,6998,11750,5029,8749,4504,1853,355,1836,18435,5118,7077,2742,4127,15324,7574,8530,12805,1320,11214,10520,7223,6635,8750,6648,4497,19881,8130,9253,6760,2754,8971,8715,7844,9097,9425,12012,9358,1057,9398,8967,9106,2884,9286,7604,2809,8636,4690,4780,4039
ふえ,ふえ,フエ,2762,10047,9191,7212,7639,2876,2405,4014,4667,10817,13585,4109,11750,10632,8749,12664,18505,2167,8002,9106,15524,5297,16772,22450,7189,3828,5353,6367,3849,5353,4997,6253,5622,9683,9525,6246,16239,18528,3769,8709,10420,7783,16517,5989,7934,8304,11116,8215,8270,763,10792,8220,17305,-1,6099,13950,5015,8342,10894,11215
うら,うら,ウラ,2776,10047,7993,11364,7639,2876,4170,4014,4667,16460,13585,6998,3839,7239,14260,10501,1091,418,15410,16563,24725,1051,1334,5574,5712,985,5195,4989,2005,5195,4845,4808,1549,1166,1250,1587,314,14765,1186,5842,1178,2190,4001,1375,2600,3677,1301,1207,3140,1736,12815,15394,1392,4017,15556,11371,9589,1382,790,7684
かん,かん,カン,2799,6881,5365,11364,7639,2876,4170,4014,4667,5635,4264,6998,11750,6269,7428,3539,2330,39,4512,21072,13020,3032,1393,2105,3798,3931,18553,837,400,3421,3193,2205,5539,7013,6141,4162,591,4310,2299,3562,3670,12464,11838,12244,12544,12753,4683,2382,12746,12762,19097,397,1460,3728,4134,2518,22615,3592,5628,2131
そうこう,そうこう,ソウコウ,3107,20704,17146,11364,7639,2876,4170,4014,4667,16460,8594,11052,11750,14238,21622,2425,16931,10772,12847,14686,11720,24611,19467,13320,13667,19590,18294,7713,6784,18294,17149,7421,8380,7851,8561,13316,9061,-1,7825,9615,20303,4585,23262,2683,4828,2483,9117,5315,5255,5368,13446,5636,20018,1203,10851,12076,7567,2217,10025,17644
いと,いと,イト,3211,16266,25005,5421,7639,2876,4170,4014,4667,16460,13585,11052,5541,21702,10747,5544,6467,1073,2528,3014,5151,556,7423,15523,4141,4792,1916,9599,1129,1916,1780,11269,6975,12113,12160,10448,1310,21152,493,15513,6804,3771,15042,2524,4054,4762,1598,4637,1481,4689,4006,16081,7766,7669,14694,7752,8679,18039,5817,15960
かし,かし,カシ,3342,20704,17146,11364,7639,2876,4170,4014,4667,10817,13585,11052,11750,21702,14260,3799,16365,1834,10304,2130,6192,7391,12547,15604,24652,8887,20563,15124,1560,20563,19272,14531,11011,15799,14385,6911,14633,13742,5845,13800,11336,1527,4622,788,2035,3340,5201,1638,2616,1634,18339,1279,12996,-1,17085,5446,1109,17061,17918,19746
こく,こく,コク,3546,6881,5365,11364,7639,2876,4170,4014,4667,6699,6377,3399,11750,8574,5712,4203,8642,2519,9472,11067,12286,11805,10295,5473,11590,10240,6556,20065,2532,2896,2698,3488,7723,18370,22061,15769,5855,-1,4184,21159,6860,9354,13539,6681,9473,9783,12301,9724,9763,9761,7786,11784,10721,6236,21197,9897,5451,15916,18493,12249
きゅう,きゅう,キュウ,3583,11455,9191,11364,7639,2876,4170,4014,2712,8262,13585,11052,7431,10632,10747,6007,8485,121,990,1156,1418,2056,3459,5511,24884,14622,821,597,311,24556,23014,14292,6516,311,330,16164,678,11710,3464,12856,9685,1805,3170,1095,2264,1035,1815,1695,2830,1676,22104,19469,3627,1220,18628,11375,5541,7941,1092,10982
ぎり,ぎり,ギリ,3668,3492,3028,5421,3549,2876,4170,4014,2712,1980,8594,5139,4541,4621,2912,11490,6599,1932,6840,7306,9594,4717,5267,3717,3817,4877,18157,19161,3480,24034,22531,18416,6396,4440,5102,11142,5677,-1,3871,14719,13370,4829,3803,4715,5064,5658,9246,5534,5483,5578,10080,17268,5483,7217,15665,9709,23806,20011,12648,12155
ちゃ,ちゃ,チャ,3675,20704,25005,7212,7639,2876,4170,4014,4667,10817,13585,11052,11750,14238,21622,11733,149,497,3502,1336,6135,380,246,419,1287,482,1141,12901,450,295,274,314,168,217,226,1310,8274,8566,735,1840,254,4432,2430,842,4685,5310,9037,5182,5111,5239,1162,19128,260,549,843,388,12359,3462,568,789
ゆとり,ゆとり,ユトリ,3722,5383,6382,2894,7639,2876,1688,4014,4667,4862,3728,11052,7431,5523,5172,24396,9418,-1,4354,5379,5888,6494,18568,17455,17922,11095,9748,19146,8132,9748,9140,18401,17117,-1,-1,6625,-1,-1,11486,21416,19134,5297,7149,3655,5506,6061,9511,5937,5915,5990,7168,17057,19129,-1,14334,9627,12668,20992,18194,11427
てん,てん,テン,3768,2809,2107,11364,4754,2876,4170,4014,2712,2798,1344,6998,7431,3974,2188,7930,1764,257,247,174,22809,446,1942,3891,3992,7177,8330,6912,1688,8330,7794,6651,4064,18900,14000,6829,1762,5070,515,8479,2571,194,16015,406,1107,211,225,779,1130,782,12886,653,2049,2016,18466,1437,708,5512,5763,4782
うむ,うむ,ウム,3782,10047,10802,5421,7639,2876,2405,4014,4667,16460,4264,11052,11750,8574,10747,13451,1018,3571,7111,7055,16687,397,2170,3050,3138,2361,935,2980,2063,935,868,2875,708,6296,6734,11012,5376,-1,395,1505,1265,2102,19244,1161,2519,2136,5262,3375,3069,2527,8674,2355,2274,7752,2380,8308,2137,9750,7531,13735
ばん,ばん,バン,3796,4442,4679,3701,3549,2876,4170,4014,2712,3517,8594,2907,5541,5523,3849,8411,4644,1185,15346,16387,1381,990,3681,6121,6277,7752,10443,8277,1812,10443,9790,7964,8542,465,500,8644,1300,21739,2376,5891,8441,7928,10345,6609,8073,8437,3044,8356,8407,8411,11275,7786,3848,9788,23855,6901,7868,5703,20733,12511
ほうほう,ほうほう,ホウホウ,3903,11455,25005,11364,2451,2876,4170,4014,4667,16460,13585,11052,3839,21702,7428,594,821,582,240,238,128,965,516,503,521,861,24197,1276,600,703,650,1230,1194,321,361,332,948,7237,931,9430,11890,210,142,558,1113,299,959,286,1825,545,220,606,530,770,24527,357,879,721,305,10208
しも,しも,シモ,4062,5687,9191,3701,2913,1733,2405,4014,4667,5635,6377,11052,3327,4621,7428,3280,1747,2218,3742,1784,2234,2470,5130,6224,6381,2951,4944,4309,1203,4944,4611,4154,5463,5088,5418,17871,-1,-1,3302,24044,3103,1536,1092,2295,2042,1020,1448,1642,2625,1637,4766,17619,5356,-1,2330,5892,22774,7331,7670,2876
がく,がく,ガク,4198,16266,13258,11364,7639,2876,4170,4014,4667,8262,13585,11052,11750,21702,10747,8641,19381,527,834,397,1241,3149,6334,8891,2360,18964,16680,15360,22694,21391,20052,11817,13484,2592,3005,16677,2826,20886,1032,12092,19635,10890,6916,13361,10985,11236,13481,11204,11238,11241,658,16126,6591,10071,1087,13291,9619,7251,22055,19967
ます,ます,マス,4332,40,44,36,26,24,46,44,62,35,62,51,27,40,42,1083,17,11297,12,14,8,77,19,18,19,26,26,24,41,26,23,21,30,10571,-1,16,1555,19190,24949,2715,2954,10,7,14,32,6,8,26,9,27,15,1642,19,14,26,21,1093,551,12,10
みかん,みかん,ミカン,4612,8967,25005,11364,1910,2876,4170,4014,4667,16460,13585,11052,2976,5523,21622,22746,5752,5270,6402,5806,10144,13148,5628,9303,9544,14660,9315,7562,9877,9315,8729,7691,19917,20526,23882,9897,13861,19933,11598,15103,8192,6153,10261,4217,6344,6822,5881,6697,6714,6759,4527,13101,5875,-1,14801,8043,9633,14140,16240,6437
だん,だん,ダン,4705,20704,17146,11364,7639,2876,4170,4014,4667,10817,13585,11052,11750,21702,14260,6170,983,2517,6902,1101,5762,3866,2519,10724,11000,1816,22693,9950,1566,22693,21272,9574,8347,21593,1669,1554,16685,-1,3832,13706,1582,21494,18210,17575,21502,21596,22655,21604,21607,21621,16764,16649,2646,1632,21707,1643,17311,459,3957,10032
ちく,ちく,チク,4847,20704,17146,11364,7639,2876,4170,4014,4667,16460,8594,11052,11750,14238,21622,354,7979,12537,3869,969,2143,3750,11385,3095,23622,14932,4342,4813,3591,4342,4055,4638,6176,2389,2622,11174,11866,3141,4283,8236,7158,2911,5731,1703,3249,2297,8408,3957,3752,4006,2935,6425,11802,1740,5808,5685,16581,6714,2443,20956
さかい,さかい,サカイ,4854,20704,17146,11364,7639,2876,4170,4014,4667,16460,8594,11052,11750,21702,14260,17207,3085,1319,10365,12577,9068,2431,9418,8847,9074,5722,16590,15770,8981,16590,15538,15150,14021,19881,18323,8604,12153,3803,5603,9912,7750,5802,18742,20884,6000,6504,2603,6373,6387,6447,15454,7677,9797,7407,11513,11109,6330,17159,11117,10147
おおい,おおい,オオイ,5729,3966,3264,5421,7639,2876,2405,4014,4667,6699,2261,5139,3839,2970,6427,265,17231,-1,11326,13340,75,229,6965,15724,3114,10404,1435,1440,5415,7434,6954,10140,14241,20110,20345,20827,656,-1,173,13881,2522,24889,18644,123,24890,3014,126,24957,24971,24978,16898,187,7258,366,18247,11924,347,8446,11652,9382
さく,さく,サク,6098,16266,17146,7212,7639,2876,4170,4014,4667,16460,13585,6998,7431,14238,14260,10827,7157,3225,7363,2184,11331,4290,4487,7450,24014,9028,20346,10695,1965,23522,22048,7085,7107,2188,2391,13155,8699,1833,4375,19778,5198,3931,3658,3324,4205,2428,7469,4772,4658,4825,9622,7593,4699,9621,8784,11380,7367,6659,12990,8296
さら,さら,サラ,6241,6881,17146,2617,4754,2876,4170,4014,4667,10817,8594,6998,2976,5523,8749,11833,12465,1522,2717,19306,10517,3407,10875,22447,9457,12139,13818,8412,1205,2296,2131,2779,11211,1453,1583,10436,2917,-1,1976,7418,15806,12638,17049,9320,12712,12922,6608,12896,12914,12926,7086,6105,11286,6680,2443,4343,4998,11426,6551,12916
まめ,まめ,マメ,6249,3599,2722,11364,7639,2876,4170,2391,4667,3224,6377,1731,7431,5523,2743,7128,11588,1609,8945,9782,9966,2867,16372,17110,17569,17037,22682,15109,8888,22682,21261,14517,24200,3419,3660,12920,3427,15911,3291,8143,15502,11180,24604,7644,11271,11512,13703,11485,11515,11522,6630,15381,16900,7633,4919,14155,9946,17650,24606,17394
もり,もり,モリ,6272,13446,25005,4421,7639,2876,4170,4014,4667,16460,13585,4109,11750,21702,8749,6323,1040,622,1076,1549,14771,1582,1021,7766,21748,729,932,10281,1226,19496,18274,3854,1172,19143,21558,12741,1745,2762,883,12067,594,2136,5532,1169,2550,3649,8183,3393,3096,3437,2176,292,985,119,755,6558,23700,623,1279,18926
むき,むき,ムキ,6654,16266,13258,11364,7639,2876,4170,4014,4667,10817,8594,11052,11750,21702,10747,5129,12231,-1,3202,4326,4863,12177,20013,22262,9731,6000,8450,5321,2097,19527,18302,12962,12317,21159,5192,19873,3334,-1,6934,15861,19706,5693,4672,5393,5894,6405,3557,1332,6280,1317,22336,14235,20562,3539,14161,20380,5652,5507,22472,2357
ひょう,ひょう,ヒョウ,8104,16266,13258,11364,7639,2876,4170,4014,4667,16460,8594,6998,11750,14238,14260,16669,17869,22748,16495,2854,4416,8115,7382,10439,12984,21110,15400,10627,7852,23231,21778,10219,7599,3094,3697,22445,14831,-1,15481,21070,12089,2357,1555,3637,2746,1257,8246,3544,3282,3594,2773,7245,7700,2351,8850,3435,6849,16114,3725,2908
あい,あい,アイ,8373,2278,1930,2894,4754,1733,1688,4014,4667,1566,2939,2276,3839,2144,2450,4482,2020,309,13594,15410,12577,236,3377,2844,2929,3826,1751,2073,1592,1751,1625,2003,3271,9115,8745,3023,229,4370,811,6245,2805,22914,12514,2204,22918,22994,23927,23005,23015,23022,8699,2008,3551,2254,3897,2806,748,4436,7944,2045
しんしん,しんしん,シンシン,8385,20704,17146,11364,7639,2876,4170,4014,2712,16460,13585,11052,11750,14238,21622,12513,19251,5786,3943,3943,3693,21501,15844,13076,13415,11141,23252,19862,11602,23252,21798,19090,9942,24810,24136,7583,24376,-1,11877,15462,16806,10424,11707,7908,10528,10801,13111,10754,10793,10787,7135,11024,16327,9743,8794,11658,7848,11805,8021,9015
かち,かち,カチ,8587,11455,17146,7212,3549,2876,4170,2391,4667,16460,13585,11052,4541,8574,14260,1915,2053,1212,1118,822,720,2093,1425,19861,1236,1949,18545,22358,15981,1876,1743,15492,2520,739,798,696,2050,23002,2485,12350,1866,1116,1014,1048,1701,3207,1005,1558,1271,844,20222,21662,1493,1024,1257,16295,18392,2826,1312,1000
おつ,おつ,オツ,8650,20704,25005,11364,4754,2876,4170,2391,4667,16460,13585,11052,11750,14238,21622,7123,16600,3349,11477,8565,10013,2852,17727,23452,24075,7878,17908,15700,5730,17908,16783,15083,17617,2011,2629,8347,9851,9851,3542,20944,12063,12520,6657,24268,12597,12809,14774,12784,12799,12817,3830,16026,16129,1665,8119,3826,22317,5026,6148,336
ばしゃ,ばしゃ,バシャ,8771,16266,13258,11364,7639,2876,4170,4014,4667,16460,13585,5139,11750,10632,21622,6940,10139,2481,6904,6724,16927,16254,6173,5284,5415,1675,8051,19998,3706,8051,7529,19221,7863,5706,5197,13249,9304,-1,1850,7694,8781,7367,23612,4696,7526,7914,10814,7826,7868,7885,17938,396,6406,-1,1697,11728,21214,8366,7920,15848
かま,かま,カマ,9711,16266,13258,11364,7639,2876,4170,4014,4667,16460,13585,5139,11750,21702,10747,14437,5981,4411,7466,17343,13840,14326,6101,16552,8095,8379,8602,9289,3463,8602,8048,22757,12956,1810,2286,10409,19713,-1,10081,10324,9572,17370,16597,12750,17400,17540,18928,17534,17543,17558,15353,3921,6360,-1,6810,9460,5682,14290,12069,24281
かぶ,かぶ,カブ,9931,20704,17146,11364,7639,2876,4170,4014,4667,16460,13585,6998,11750,21702,14260,3317,5630,2938,2303,1468,2789,3830,3861,14341,14722,5607,23163,11604,4729,23163,21713,11156,14210,4714,4746,17983,13598,375,4956,14247,9324,5604,5236,5230,862,6324,5807,6202,6201,6268,1213,9066,4011,4021,5745,20907,9599,2954,3884,17382
じく,じく,ジク,9943,20704,17146,11364,7639,2876,4170,4014,4667,16460,13585,6998,11750,21702,14260,2027,8565,4701,4062,3269,3841,13524,14742,9055,9289,7690,8378,6064,4472,8378,7840,5843,12210,9748,10571,3666,8782,23421,8146,19089,8679,1495,862,7087,2009,1210,3975,1631,2586,3058,3454,7800,15284,-1,6495,3355,6255,1970,4604,2500
むち,むち,ムチ,10354,20704,25005,7212,7639,2876,4170,4014,4667,16460,13585,6998,11750,21702,14260,19166,20816,2679,6860,8138,19385,16634,22182,23612,7554,3489,7015,19933,2756,17957,16831,19159,7405,7536,8895,17158,1886,-1,3981,11573,21660,9837,8747,8278,9953,10241,12676,10188,10223,10220,12494,3903,18449,-1,4628,13671,23625,10129,7383,10648
ぶし,ぶし,ブシ,10528,20704,17146,11364,7639,2876,4170,4014,4667,10817,13585,11052,11750,14238,21622,4187,3070,2079,3319,3271,8677,2588,7823,10518,10784,2346,4542,2103,11659,4542,4248,2033,4995,14074,15750,7340,22200,12152,2446,12704,4145,12293,13777,14972,12375,12586,2358,12565,12582,12596,8237,12145,7737,-1,23648,9565,7903,3199,8571,8438
