term,reading_frequency,kana_frequency
来る,53,38
後,235,186
置く,273,155
上げる,364,191
分かる,465,455
事,497,15
良い,515,139
欲しい,523,344
物,598,43
過ぎる,648,243
済む,706,651
所,763,104
全く,837,585
と言う,859,45
降りる,921,719
気,1203,629
出来る,1302,94
全て,1305,615
皆,1313,178
奴,1314,555
達,1319,107
何だ,1342,462
何で,1371,484
と共に,1383,1178
色々,1388,814
下さる,1409,946
無い,1442,29
そう言う,1465,253
既に,1503,723
様に,1531,77
何とか,1540,857
何でも,1564,1513
頂く,1569,327
って言う,1577,1456
付く,1619,414
辺り,1647,1484
経つ,1668,1291
訳,1756,154
付ける,1797,316
内,1801,180
に置いて,1956,1053
やって来る,1962,757
知れる,2024,1698
下りる,2026,719
１人,2053,1846
掛ける,2055,202
何だか,2075,1321
と言い,2125,1197
と言えば,2152,1255
時に,2272,998
１つ,2278,1352
何でもない,2522,2180
過ぎ,2528,1012
と言っても,2540,2205
一杯,2652,743
挙げる,2660,191
下る,2681,2483
余り,2913,318
居る,3021,18
美味しい,3022,1444
掴む,3024,1798
貰う,3028,112
凄い,3037,481
更に,3038,599
喋る,3048,2211
上手い,3055,740
御,3057,277
何故,3059,345
為,3066,89
元々,3069,1886
恐らく,3108,1434
酷い,3127,687
程,3138,123
貴方,3151,121
繋がる,3169,2354
ことが出来る,3193,319
傍,3214,1512
大人しい,3215,2507
僅か,3260,1548
叶う,3424,2718
何となく,3425,1686
かも知れない,3441,156
一旦,3503,2546
事になる,3523,219
致す,3549,949
何故か,3570,1516
真っ直ぐ,3586,2007
微か,3760,3386
故,3778,3560
要る,3812,701
被る,3823,2629
溜まる,3885,2701
そう言えば,3920,718
是非,3921,2439
造る,3935,2146
あり得ない,3999,3690
沢山,4032,406
締める,4051,3953
何とも,4085,3499
相応しい,4113,2767
事がある,4129,326
遥か,4137,2781
未だ,4169,90
度,4202,2613
繋ぐ,4211,2946
掛かる,4288,300
美味い,4371,740
釣る,4432,3979
色んな,4443,1953
観る,4453,110
兼ねる,4467,2744
否,4509,1466
可哀想,4519,2749
在る,4553,14
臭い,4601,4579
無くなる,4608,411
上手くいく,4690,2258
如く,4750,3685
着ける,4770,316
良く,4899,143
何だって,5026,3596
辺,5032,4816
何という,5194,4385
本,5301,2802
頂戴,5341,2442
敵う,5346,2718
何とかなる,5454,4499
何だと,5504,3298
初めまして,5754,5690
成す,5758,1972
空ける,5777,4191
掻く,5814,2224
始め,5900,2988
所へ,6053,2614
明ける,6222,4191
と言うと,6254,2492
及び,6285,5585
段々,6436,2383
難い,6580,1267
留まる,6601,6270
お帰りなさい,6627,5798
初め,6648,2988
成る,6705,16
良くなる,6788,2979
開く,6901,3980
分かりやすい,6987,4583
沸く,7019,6476
稀,7084,7003
に取って,7204,239
ついて来る,7512,2134
絶つ,7647,7001
誠に,7726,7389
沿う,7736,7601
に当たり,7934,7888
見なす,7999,7988
筈,8153,206
勿論,8158,266
噓,8166,2769
流石に,8169,693
嚙む,8209,6897
摑む,8229,1798
何処,8254,148
云う,8261,86
方が良い,8278,1849
事はない,8280,591
分る,8294,455
仰る,8298,2031
事にする,8316,395
躊躇う,8322,4986
お陰で,8342,886
解る,8354,455
如き,8364,3691
丁度,8404,1006
中々,8406,405
折角,8413,746
容易い,8414,7592
事が出来る,8434,319
判る,8437,455
有る,8447,14
無し,8459,1108
繋がり,8461,7286
殆ど,8485,388
訳じゃない,8526,1351
その事,8532,1093
恐い,8540,4689
流石,8565,900
処,8566,104
之,8569,34
為す,8576,1972
零れる,8578,3692
暫く,8594,572
故に,8595,3633
逢う,8630,7503
事ができる,8689,319
にも関わらず,8703,2742
何せ,8721,8291
零す,8734,3694
に付いて,8735,233
繫がる,8738,2354
幾つか,8739,1880
彷徨う,8752,6599
訳ではない,8796,986
物凄い,8805,2309
無いと,8807,432
玩具,8813,6391
弄る,8820,4208
又,8856,81
撒く,8867,7877
畜生,8875,8690
変る,8898,7698
捻る,8905,7092
寄越す,8921,4497
有,8958,8487
尚,8966,1206
縋る,8971,6079
大分,8978,2047
程に,9019,1539
咥える,9021,6994
出来るだけ,9035,2722
お喋り,9055,5789
と言うか,9059,1320
躱す,9060,4488
遂に,9105,1087
無くす,9123,1294
創る,9154,2146
独り,9163,1846
爺さん,9165,8794
側,9202,1512
空く,9203,4177
素,9204,2802
攫う,9209,5494
不味い,9231,1479
懸ける,9232,202
堪る,9248,1816
１番,9282,4199
では無い,9306,100
即ち,9311,3393
逝く,9328,65
辛うじて,9339,5390
の様に,9347,165
何処か,9349,286
だからと言って,9373,3996
幾つも,9426,2467
様になる,9433,330
儂,9448,3093
敢えて,9479,2208
以て,9483,5492
恐らくは,9506,5696
許,9626,2363
様な,9634,70
余程,9714,2331
廻る,9762,4589
全い,9810,7695
混む,9855,4273
更なる,9858,6584
その為,9902,951
奢る,9908,6899
尚更,9942,4893
被せる,9947,7890
生憎,10040,6081
と言うより,10061,1195
嵌める,10082,5287
倉,10085,7581
停まる,10132,6996
付,10158,5079
滅茶苦茶,10178,3398
行ってらっしゃい,10179,6387
勿体ない,10187,2645
挙句,10253,7489
ついて行く,10265,4894
逞しい,10314,7479
と言うのは,10341,620
最早,10372,1463
ご馳走,10398,9997
ただ今,10399,1826
停める,10411,5587
呑気,10449,7485
凌ぐ,10463,8000
視る,10474,110
かも知れません,10476,1049
宥める,10512,6590
穿く,10517,6193
此処,10545,56
啜る,10572,6690
擦る,10602,4559
籠もる,10621,2740
搔く,10656,2224
何としても,10669,9887
仕舞う,10681,52
左様,10739,9595
蕩ける,10770,9680
揚げる,10837,191
遙か,10856,2781
様だ,10891,488
ことは無い,10892,591
宛,10980,10196
能,11035,9070
事がない,11099,1084
好い,11114,139
倣う,11123,8096
籠る,11126,2740
可笑しい,11139,534
当て,11150,10196
捕える,11157,6390
失くす,11178,1294
表れる,11183,9094
当る,11186,2707
丁度いい,11188,3688
唯,11206,128
党,11245,10801
御免,11267,513
訳にはいかない,11293,1715
繋げる,11328,8100
掠れる,11337,9682
項垂れる,11351,6888
延ばす,11454,9984
欠伸,11457,6684
幾ら,11472,711
訳ない,11493,1584
来る,11501,6995
朽ちる,11505,10392
こう言う,11530,336
って言うか,11566,1547
からと言って,11572,5091
所々,11626,6997
掠める,11636,7094
もう１つ,11700,5397
湛える,11773,7797
貴女,11801,121
直ぐに,11818,214
煌めく,11823,10584
纏める,11851,1225
お代わり,11927,6796
良き,11950,11784
仰け反る,11980,10990
度々,11985,7972
いくら何でも,11998,4981
易い,12025,438
に就いて,12055,233
その様,12083,1578
お陰,12131,2094
元より,12175,6291
行って来る,12211,5682
何だかんだ,12239,5480
ご覧,12287,5695
綻ぶ,12307,10796
に付き,12343,6592
温い,12362,6656
抉る,12403,10494
その内,12437,1278
同化,12447,4701
洩れる,12479,11585
もう１人,12491,10994
餅,12509,7646
良し,12627,904
有り得ない,12643,3690
との事,12659,2322
摂る,12674,2001
厭,12713,1602
硝子,12740,3495
供,12751,5201
どうでも良い,12807,1609
或いは,12848,1492
起す,12886,12286
刈る,12967,12901
剥く,13079,5213
かと言って,13116,4898
他所,13222,2924
誠,13238,11494
独りで,13242,3787
ちょうど良い,13295,3688
蔵,13301,7581
掴まる,13379,6596
術,13501,7419
て言うか,13577,3179
有難い,13586,1753
目掛ける,13601,6400
洩らす,13630,9800
吊る,13675,4784
居なくなる,13676,1116
何も無い,13722,9284
出来るようになる,13774,6395
どちらかと言えば,13857,12782
訳がない,13900,1971
畏まる,13953,3892
良しとする,13961,13085
狼狽える,14058,6699
空しい,14108,11100
流石は,14160,3998
に渡って,14163,7580
ピンと来る,14174,11194
目がける,14184,6400
取りあえず,14194,707
引き攣る,14212,13397
如何,14279,2068
足掻く,14332,11497
呆気ない,14346,7294
跨る,14381,7990
うまく行く,14397,2258
爽快,14453,7398
いい事,14454,1941
もの凄い,14479,2309
とか何とか,14548,9796
誉める,14627,10498
叔父さん,14646,3182
我儘,14647,4387
落ち,14683,12499
弁える,14709,7882
粋,14745,12135
所謂,14767,1296
真っすぐ,14790,2007
甦る,14854,7193
付きまとう,14894,11893
予め,14945,5193
精々,14972,2572
お洒落,15009,10185
蹲る,15027,5790
見る見る,15043,5400
宜しい,15048,1042
余所,15049,2924
一々,15084,2436
強ばる,15089,9588
吐く,15101,1001
赦す,15109,10595
拘る,15117,7586
伯父,15130,10317
如何に,15159,2523
綿,15186,10663
着く,15201,6193
居る,15202,229
有り難い,15209,1753
込み,15231,11795
何だっけ,15248,9095
宛て,15251,10196
凹む,15308,11498
と言えど,15378,5296
風,15401,6088
遣う,15443,7296
虐める,15465,3884
我,15501,5699
お袋,15506,12982
桁,15513,12882
一寸,15515,92
正に,15520,1071
笑む,15567,13297
吼える,15569,12997
捕らわれる,15611,7992
旨い,15639,740
基,15661,2802
様,15701,144
辛い,15702,2538
湾,15703,10982
奴等,15724,4386
隣り,15784,10697
孔,15804,4983
廻す,15857,6200
塗れる,15863,5576
止めておく,15887,5520
つき合う,15890,4185
却って,15906,2867
と言うのに,15923,1541
戴く,15952,327
事は無い,15959,591
何故だか,15981,9492
外に,15985,2876
窘める,16052,10495
馴れる,16076,7987
摘まむ,16135,5493
上手く行く,16165,2258
言いよう,16181,15998
わたし達,16198,3783
齧る,16217,7392
漲る,16236,12393
只,16259,128
今や,16285,11565
然るべき,16304,11392
据わる,16327,11496
ほんの僅か,16349,10900
どの道,16367,8894
様にする,16413,375
解す,16418,9681
挙げ句,16423,7489
言わば,16507,4587
千切る,16580,13088
止める,16601,230
嫌々,16612,7301
躓く,16640,13398
独りぼっち,16646,14383
毎に,16666,2524
何と,16699,6500
何ともない,16711,12395
棄てる,16721,16190
丁度良い,16725,3688
蒸す,16761,12798
疾い,16770,5680
庫,16771,7581
ほうが良い,16792,1849
でも無い,16844,323
納まる,16857,7336
無闇,16866,11988
極,16905,2505
出でる,16913,4591
拡げる,16923,14996
ことが無い,16992,1084
飛沫,17002,16700
お爺さん,17013,8895
圧す,17032,6078
何故なら,17091,3515
過る,17159,9185
可哀そう,17194,2749
此方,17256,480
掬う,17266,7496
辿りつく,17289,9392
或る,17297,801
爺ちゃん,17337,11887
竦む,17348,14494
事となる,17380,4593
お終い,17412,2841
蔭,17460,14283
何時,17501,295
すぐ側,17503,7293
其,17504,17
捲る,17508,1999
お婆さん,17515,10289
無しに,17556,2835
完,17562,7563
投げ,17575,13884
１杯,17593,743
押える,17608,10298
反る,17658,15391
突っこむ,17692,11584
程よい,17694,14492
察す,17727,14783
如何,17736,85
轢く,17755,7492
一人ぼっち,17796,14383
笹,17846,11184
割り,17869,6786
唄,17973,17257
悦ぶ,18012,11596
無しで,18018,4390
木霊,18019,11688
幾つ,18036,4885
苛める,18046,3884
仄か,18073,7198
尽す,18081,6300
憂い,18101,17392
如何なる,18122,4989
家,18201,3589
先ず,18236,394
貴方達,18325,3299
暢気,18351,7485
臭いがする,18358,14693
此,18364,5497
燻る,18365,15992
頁,18367,2481
やり過ぎる,18411,11294
見付ける,18457,13592
じゃ無い,18520,62
叔母さん,18529,4090
落,18539,12499
拡がる,18559,17198
何じゃ,18582,1500
刎ねる,18652,7995
至る所,18703,16598
我が儘,18741,4387
往く,18835,65
跨ぐ,18870,14499
何とでも,19002,18092
墜ちる,19020,11495
併せる,19028,5097
幾らでも,19059,2052
筈がない,19087,1898
合せる,19099,5097
仕方が無い,19106,10699
挙がる,19119,2135
ん家,19132,3589
吾,19143,9589
二人共,19145,9898
分かんない,19189,18385
澄ます,19225,7881
益々,19269,1893
聴こえる,19283,14981
おっしゃる通り,19289,17085
直ぐ,19304,321
とでも言うよう,19316,17900
些か,19366,4996
庁,19373,15995
苛々,19460,16897
栞,19544,18697
易々,19583,16153
四季,19608,5100
ばら撒く,19641,10895
寛ぐ,19667,6689
の余り,19674,3895
後から,19688,7238
寧ろ,19784,688
代りに,19793,9197
翠,19849,17586
取り敢えず,19872,707
懸かる,19920,300
殊更,19935,13293
愉しい,19965,18989
靡く,19979,7089
と言うことは,20082,936
様に言う,20263,19677
夕べ,20266,8893
共々,20279,16092
嵌る,20291,5884
伝手,20308,15596
珈琲,20325,3296
沁みる,20327,14580
一一,20366,2436
我等,20433,13193
良い事,20476,18089
挫ける,20485,19277
奇麗,20518,1774
唄う,20543,11589
っ放し,20558,3886
可哀相,20573,2749
さり気ない,20579,5200
貴方たち,20654,3299
括る,20706,14185
煩い,20724,1054
蔑ろにする,20737,19600
宜しく,20773,925
空にする,20778,11888
の度に,20781,16482
於て,20787,15300
憐れ,20823,18282
物になる,20856,2606
切り,20883,1158
薦める,20920,6223
始めから,20948,14798
全くもって,20983,11696
ほほ笑む,20995,18797
明く,20997,3980
搾る,21004,16674
訳がある,21007,14388
傍から,21124,13181
頸,21133,18596
有り,21147,275
お馴染み,21180,20397
籠める,21183,5481
謀る,21185,14211
縋りつく,21193,10487
有り様,21266,13600
にも拘らず,21342,2742
適う,21376,2718
只今,21528,1826
お側,21549,19193
呷る,21550,7894
瞑る,21563,7597
取り付く,21631,19678
従兄弟,21644,14983
と言うもの,21705,970
漸く,21712,665
纏まる,21870,2967
嗚呼,21881,445
増し,21884,6389
たった１人,21889,16690
仰る通り,21907,17085
篤い,21908,12341
御座る,21958,1431
させて頂く,22030,7590
限,22043,1158
烈しい,22046,15595
怖ろしい,22080,9677
という所,22083,4295
纏わりつく,22190,8799
彼奴,22226,545
訳の分からない,22269,12399
至るところ,22289,16598
嫌らしい,22324,4496
捗る,22334,19084
所為,22347,584
止め,22388,11215
ＩＮ,22435,19081
尤も,22473,3401
直に,22485,10549
苺,22530,18496
善い,22570,139
曳く,22575,4590
訳が分からない,22643,11900
巧い,22651,740
但し,22656,1691
貶す,22671,22298
成程,22725,537
壇,22741,14282
と言うのも,22745,2288
７,22787,13298
伯母,22825,14385
に依る,22838,200
鍬,22851,18600
何としてでも,22902,21894
振りをする,22988,4318
狡い,23014,3790
窪み,23031,21786
弾み,23073,22295
捲る,23103,3877
御飯,23162,5198
如何にも,23217,2161
固まり,23222,15798
見付かる,23230,22596
好,23304,21282
御馳走,23344,9997
唆す,23363,18095
止す,23373,2813
表わす,23412,16183
暫し,23417,3588
伴,23449,5201
この様,23464,1273
胆,23474,19687
篭る,23498,2740
分かりにくい,23499,15884
刻,23502,215
切っ掛け,23552,2639
相変らず,23577,12992
ひと時,23658,15098
に於ける,23705,2500
掛る,23724,300
顕,23741,13388
萎む,23761,19187
寄こす,23793,4497
留める,23801,7657
程なくして,23837,16286
目蓋,23846,8786
遊ばす,23868,23093
明り,23881,14099
伯父さん,23907,3182
充ちる,23909,19391
夥しい,23935,14581
多用,23947,16886
何々,23985,8886
振りかえる,23999,19692
悉く,24007,6490
お休みなさい,24040,6283
惨い,24073,19874
のみ込む,24091,22382
８,24097,23887
扱く,24166,10790
ふり返る,24190,19692
到る,24219,5895
剝く,24244,5213
翳す,24249,5300
挫く,24376,24281
薄っすら,24481,4398
にも拘わらず,24485,2742
出鱈目,24518,10979
這入る,24551,3389
事あるごとに,24579,22775
壱,24662,10096
と思しい,24670,18987
覚束ない,24677,13885
剝がす,24736,18792
不貞腐れる,24738,16677
茸,24741,23993
風雨,24754,19591
点る,24755,21897
調える,24805,24499
強か,24810,13979
事が無い,24822,1084
差しかかる,24890,14587
恥かしい,24899,17896
沙,24966,24700
